Timeline,Start time,Duration,Row,Instance number,<flag>.,Assist,Corner Taken,Event,GameTime,Half,Pass,Period,Player,Shot Pattern of Play,Team,Zone,✅,❌,❌❌,🔸[DSP],🔸[OP] --> 🔹[IP],🔸[OP] Box Defence,🔸[OP] Restart Phase,🔸[OP] Zonal Defence,🔹[IP] Attack the Box,🔹[IP] Progression Phase,🔹[IP] Restart Phase,🔹[IP]--> 🔸[OP] ,🔹[OSP],Ungrouped,Notes,Flags
251103_Sunderland_Everton_ANALYST,0.0,18.189876196971788,🔸[DSP] Kick-off❌❌,0,,,,,,,,,,,,,,,,,,,,,,,,,,❌❌,,.
251103_Sunderland_Everton_ANALYST,0.0,20.269981418650794,"🔹[1Ia] GK Restart(OS, long Front3, 2nd ball)✅",0,,,,,00:00:36,,,1,,,,,,,,,,,,,,,"OS: LONG, Front 3",,,,,.
251103_Sunderland_Everton_ANALYST,0.0,30.218284019330994,"🔹[I3b] Progression(sloppy, cheap turnover)❌",0,,,,,00:00:55,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,30.650140203458022,"🔸[OP4] Low Block(RSide, LSide)✅",0,,,,,00:01:30,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,23.370107907446197,🔸[OP3a] High Block(off the shoulder of Enzo)🚧,0,,,,,00:02:06,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,21.843796970103142,🔸[OP3b] Mid Block(left regain)✅,0,,,,,00:02:31,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,42.15022097985238,🔹[IP3a] Progression(sloppy then poor choice)❌,0,,,,,00:02:54,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,41.17022372614838,🔹[IP3b] Progression(LTriangle)✅,0,,,,,00:03:45,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,29.444152161381624,🔹[IP4] Attacking Phase(RTriangle)✅,0,,,,,00:04:39,,,1,,,,,,,,,,,,,,Pin & Switch,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,25.667162205354543,🔸🔹Defensive Transition(counter-attack)✅,0,,,,,00:04:46,,,1,,,,,,,,,,,,,,,,Counter Press,,,,.
251103_Sunderland_Everton_ANALYST,0.0,28.520178010640905,"🔹[IP4] Attacking Phase(RTRiangle, sloppy, cheap turnover)❌",0,,,,,00:05:16,,,1,,,,,,,,,,,,,,In-Behind,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,15.089975008503416,🔸🔹Defensive Transition(counter-attack)✅,0,,,,,00:05:30,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,8.480064322692215,🔹[IP3b] Progression(good idea IB LSide but early turnover)🚧,0,,,,,00:05:52,,,1,,,,,,,,,,,,,,In-Behind,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,31.530174055258044,"🔸[OP3b] Mid Block(overwhelmed right side, strong box unit vs cross) ⚠️",0,,,,,00:06:17,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,29.470452646557874,"🔸[OP4] Low Block(compact, low-intensity press, IB)✅",0,,,,,00:07:02,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,44.09451876918507,"🔹[IP3a] Progression(good start, cheap turnover)❌",0,,,,,00:07:29,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,17.43009936366218,🔸🔹Defensive Transition(counter-attack)✅,0,,,,,00:07:57,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,26.790150272810138,"🔹[IP3a] Progression(inaccurate diagonal pass, good idea poor execution)🚧",0,,,,,00:08:35,,,1,,,,,,,,,,,,,,Pin & Switch,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,46.31936447985936,"🔸[OP3b] Mid Block(good press, backpass GK, IB, clean regain)✅",0,,,,,00:09:07,,,1,,,,,,,,,,,,,,,,,,,,.
251103_Sunderland_Everton_ANALYST,0.0,20.26011033907014,"🔹[IP4] Attacking Phase(RTriangle, feed the winger)🚧",0,,,,,00:10:20,,,1,,,,,,,,,,,,,,Pin & Switch,,,,,,.
